Date,Open,High,Low,Close,Volume,Adj Close
2009-03-16,325.990561,329.730577,318.59054,319.690535,9930500,159.685582
2009-03-17,320.180556,335.340587,319.090546,335.340587,9460300,167.50279
2009-03-18,334.810561,340.00057400000003,328.050564,333.100559,10061900,166.383896
2009-03-19,331.680581,336.000584,327.38055,329.94056,8253100,164.805475
2009-03-20,330.300578,332.99055899999996,326.340563,330.160559,9511200,164.91536399999998
2009-03-23,333.56056,349.450613,333.03056499999997,348.600605,8574900,174.126176
2009-03-24,346.500597,353.84061,344.00059500000003,347.17058,7668500,173.411878
2009-03-25,350.400604,351.340609,336.25057200000003,344.07058900000004,8705000,171.863431
2009-03-26,353.13059,359.160626,348.500592,353.290612,12051500,176.468837
2009-03-27,350.000611,352.000606,345.470595,347.700606,6670400,173.676626
2009-03-30,342.550598,343.810585,336.050575,342.690586,6211300,171.174119
2009-03-31,348.930604,353.510611,346.180584,348.06059300000004,7337900,173.85644
2009-04-01,343.780596,355.240616,340.61057999999997,354.090598,6627100,176.86843100000002
2009-04-02,363.31062099999997,369.760621,360.32063,362.50061800000003,9009500,181.06923999999998
2009-04-03,364.50061400000004,371.720641,358.000622,369.78062400000005,7607900,184.70560600000002
2009-04-06,367.000615,369.820629,361.400623,368.24062999999995,6585100,183.93637900000002
2009-04-07,362.60063199999996,363.750619,355.31061,358.650603,7387700,179.146155
2009-04-08,363.500631,365.00062,356.210609,362.000612,5551000,180.819487
2009-04-09,369.500647,374.35064500000004,366.250621,372.500625,6790400,186.064248
2009-04-13,371.33063500000003,379.10066,370.300633,378.110634,6123000,188.86645
2009-04-14,376.940644,376.990635,365.60064,368.910644,6882800,184.271051
2009-04-15,367.100629,381.06065,364.16062900000003,379.500653,9898300,189.560766
2009-04-16,381.500648,392.90066,381.020645,388.740679,20446400,194.176163
2009-04-17,386.020648,399.820678,384.810652,392.240663,21541900,195.924407
2009-04-20,386.15065,390.65067700000003,375.890639,379.300657,8890900,189.460868
2009-04-21,376.17064700000003,384.30066,376.100652,381.47066,7418400,190.54478500000002
2009-04-22,381.75066699999996,390.000666,379.010664,383.860662,7029800,191.73859199999998
2009-04-23,387.51065,389.750678,381.110642,384.690667,5237500,192.15318
2009-04-24,386.050667,393.180668,380.500666,389.490673,6796100,194.55078600000002
2009-04-27,384.340665,389.490673,382.750649,385.950654,4598200,192.782544
2009-04-28,383.75066200000003,389.050675,381.540654,383.71065699999997,5909100,191.66366499999998
2009-04-29,385.970656,394.97067999999996,385.830668,391.470666,7247000,195.539793
2009-04-30,395.76068,403.750705,394.800672,395.97069300000004,8744000,197.78755900000002
2009-05-01,395.030688,397.590667,391.550677,393.69066000000004,4873500,196.648681
2009-05-04,398.170685,402.400691,394.790686,401.980695,6430000,200.789558
2009-05-05,399.9807,405.000706,397.250682,402.990694,4819500,201.294053
2009-05-06,406.790688,408.28069,401.00068500000003,403.47069799999997,5285400,201.533815
2009-05-07,404.100706,404.99068900000003,392.50066699999996,396.610688,6021900,198.107237
2009-05-08,402.850705,410.13071099999996,395.000669,407.33069900000004,7759100,203.461888
2009-05-11,402.800683,412.000704,401.20068100000003,407.980711,5137700,203.786569
2009-05-12,410.010695,410.990705,395.11066800000003,399.010676,7609900,199.30603200000002
2009-05-13,394.090683,396.390689,388.35067200000003,389.540665,5706800,194.575757
2009-05-14,388.800657,392.21067400000004,384.690667,387.50066400000003,5895900,193.556775
2009-05-15,391.100662,394.110686,389.09067999999996,390.000666,6039900,194.805527
2009-05-18,394.73067799999995,397.310691,385.400656,396.840673,6728500,198.22211399999998
2009-05-19,396.100665,401.64068,393.000674,398.880673,5696100,199.241096
2009-05-20,402.090694,405.67068900000004,395.000669,397.180688,4585000,198.391952
2009-05-21,396.30069199999997,402.840689,393.840665,396.50068799999997,5459900,198.052292
2009-05-22,396.660679,398.650688,392.000661,393.50068,3450000,196.553786
2009-05-26,391.950669,405.000706,390.000666,404.36068,6232200,201.978362
2009-05-27,405.6407,411.86071499999997,404.810695,405.560689,6091200,202.577767
2009-05-28,408.680714,411.620714,404.610699,410.40070099999997,5357500,204.99535500000002
2009-05-29,412.110703,417.230723,410.700711,417.230723,5316100,208.406954
2009-06-01,418.730711,429.600728,418.530715,426.560745,6669600,213.06730499999998
2009-06-02,426.25071799999995,429.960746,423.400716,428.400749,5266800,213.98638799999998
2009-06-03,426.000731,432.46074699999997,424.00073499999996,431.65074500000003,7092000,215.609763
2009-06-04,435.300734,441.240742,434.50074800000004,440.28076500000003,7303300,219.92046200000001
2009-06-05,445.07075499999996,447.340771,439.460746,444.32075999999995,7389100,221.93844199999998
2009-06-08,439.500751,440.920759,434.120758,438.770759,6220500,219.166213
2009-06-09,438.580749,440.50076399999995,431.76074500000004,435.620746,6534100,217.59277999999998
2009-06-10,436.23075199999994,437.890763,426.670745,432.60073600000004,6742900,216.084284
2009-06-11,431.77073099999996,433.730751,428.37073,429.00073899999995,5751800,214.28608300000002
2009-06-12,426.860724,427.700746,421.21070999999995,424.84072699999996,5858600,212.20815499999998
2009-06-15,421.50073399999997,421.50073399999997,414.000699,416.77072200000003,7501700,208.177184
2009-06-16,419.310728,421.090724,415.420707,416.000725,6122100,207.79256999999998
2009-06-17,416.190704,419.720707,411.560705,415.16070299999996,7006200,207.372978
2009-06-18,415.680712,418.690706,413.000717,414.060707,6193400,206.82353
2009-06-19,418.210702,420.460716,414.580716,420.090712,8550100,209.83552000000003
2009-06-22,416.950715,417.490727,401.890698,407.350702,8279600,203.471879
2009-06-23,406.65069900000003,408.99071000000004,402.550695,405.680706,5820800,202.637715
2009-06-24,408.740691,412.23072,406.560702,409.290689,4934000,204.44090400000002
2009-06-25,407.000701,415.900711,406.510711,415.770709,6111700,207.677677
2009-06-26,413.680717,428.230741,413.110716,425.32072999999997,6537800,212.447917
2009-06-29,426.000731,427.800729,422.24071200000003,424.14072400000003,4354800,211.85850299999998
2009-06-30,424.00073499999996,427.21072599999997,418.220719,421.59073099999995,5207100,210.584781
2009-07-01,424.200732,426.400723,418.150725,418.990716,4638900,209.286072
