date,open,close,high,low,volume,code
2016-01-04,2.788,2.684,2.788,2.676,1913127.0,601288
2016-01-05,2.667,2.719,2.727,2.65,3215456.0,601288
2016-01-06,2.71,2.736,2.745,2.702,1684199.0,601288
2016-01-07,2.719,2.676,2.727,2.667,676930.0,601288
2016-01-08,2.702,2.719,2.727,2.676,2696910.0,601288
2016-01-11,2.702,2.659,2.71,2.659,2863885.0,601288
2016-01-12,2.676,2.693,2.702,2.659,1763419.0,601288
2016-01-13,2.693,2.684,2.71,2.676,1536207.0,601288
2016-01-14,2.659,2.684,2.684,2.633,2738626.0,601288
2016-01-15,2.676,2.641,2.676,2.633,2146738.0,601288
2016-01-18,2.624,2.641,2.676,2.607,2139644.0,601288
2016-01-19,2.65,2.676,2.684,2.633,1434957.0,601288
2016-01-20,2.667,2.676,2.684,2.65,1884368.0,601288
2016-01-21,2.65,2.659,2.693,2.65,1727071.0,601288
2016-01-22,2.667,2.676,2.676,2.641,1515520.0,601288
2016-01-25,2.659,2.667,2.667,2.641,1613665.0,601288
2016-01-26,2.65,2.538,2.659,2.521,2207486.0,601288
2016-01-27,2.538,2.538,2.555,2.486,2399650.0,601288
2016-01-28,2.538,2.504,2.547,2.504,1590225.0,601288
2016-01-29,2.504,2.572,2.581,2.504,1987770.0,601288
2016-02-01,2.572,2.529,2.572,2.512,1007929.0,601288
2016-02-02,2.529,2.547,2.555,2.521,1189785.0,601288
2016-02-03,2.529,2.512,2.538,2.495,1043089.0,601288
2016-02-04,2.521,2.521,2.538,2.512,864651.0,601288
2016-02-05,2.521,2.512,2.529,2.504,656930.0,601288
2016-02-15,2.469,2.486,2.504,2.452,912311.0,601288
2016-02-16,2.495,2.529,2.538,2.486,1280652.0,601288
2016-02-17,2.529,2.555,2.564,2.521,1380607.0,601288
2016-02-18,2.564,2.555,2.564,2.538,1463013.0,601288
2016-02-19,2.547,2.538,2.564,2.529,1223877.0,601288
2016-02-22,2.564,2.581,2.607,2.547,1677229.0,601288
2016-02-23,2.581,2.564,2.581,2.547,1263811.0,601288
2016-02-24,2.547,2.564,2.572,2.547,952478.0,601288
2016-02-25,2.564,2.512,2.564,2.495,2315151.0,601288
2016-02-26,2.521,2.547,2.555,2.512,1405324.0,601288
2016-02-29,2.538,2.572,2.572,2.504,2605846.0,601288
2016-03-01,2.564,2.572,2.59,2.547,1426632.0,601288
2016-03-02,2.581,2.624,2.624,2.572,2205801.0,601288
2016-03-03,2.616,2.65,2.65,2.607,1868188.0,601288
2016-03-04,2.641,2.753,2.762,2.624,5271311.0,601288
2016-03-07,2.736,2.736,2.745,2.71,1700295.0,601288
2016-03-08,2.727,2.736,2.745,2.659,2249407.0,601288
2016-03-09,2.71,2.762,2.77,2.684,2315883.0,601288
2016-03-10,2.736,2.71,2.745,2.702,1179985.0,601288
2016-03-11,2.702,2.745,2.753,2.693,1382085.0,601288
2016-03-14,2.736,2.745,2.753,2.719,1471446.0,601288
2016-03-15,2.745,2.745,2.753,2.702,1787681.0,601288
2016-03-16,2.727,2.796,2.796,2.727,4521615.0,601288
2016-03-17,2.788,2.762,2.796,2.753,1789543.0,601288
2016-03-18,2.77,2.77,2.77,2.745,2296704.0,601288
2016-03-21,2.762,2.762,2.779,2.753,2444573.0,601288
