date,open,close,high,low,volume,code
2016-01-04,12.806,11.667,12.874,11.667,81428.0,300137
2016-01-05,10.999,10.9,11.544,10.498,159542.0,300137
2016-01-06,11.012,11.191,11.284,10.77,101193.0,300137
2016-01-07,10.764,10.071,11.055,10.071,33805.0,300137
2016-01-08,10.263,9.88,10.387,9.465,113273.0,300137
2016-01-11,9.589,8.89,9.88,8.89,112611.0,300137
2016-01-12,8.97,9.063,9.199,8.679,125433.0,300137
2016-01-13,9.341,8.97,9.577,8.945,142917.0,300137
2016-01-14,8.661,9.632,9.645,8.587,124722.0,300137
2016-01-15,9.546,9.181,9.626,9.094,111675.0,300137
2016-01-18,9.032,9.434,9.589,8.939,87883.0,300137
2016-01-19,9.453,9.799,9.818,9.255,126560.0,300137
2016-01-20,9.7,9.595,9.991,9.558,128858.0,300137
2016-01-21,9.267,8.989,9.638,8.983,149577.0,300137
2016-01-22,9.156,9.069,9.218,8.673,92893.0,300137
2016-01-25,9.174,9.125,9.292,8.983,83364.0,300137
2016-01-26,9.001,8.216,9.051,8.216,116851.0,300137
2016-01-27,8.216,8.16,8.339,7.64,100862.0,300137
2016-01-28,8.042,7.844,8.191,7.795,67553.0,300137
2016-01-29,7.776,8.197,8.29,7.776,79851.0,300137
2016-02-01,8.042,7.968,8.178,7.807,78472.0,300137
2016-02-02,7.98,8.296,8.37,7.98,100879.0,300137
2016-02-03,8.197,8.321,8.395,8.03,81247.0,300137
2016-02-04,8.29,8.543,8.593,8.277,107643.0,300137
2016-02-05,8.543,8.482,8.754,8.463,82323.0,300137
2016-02-15,8.228,8.519,8.55,8.055,73088.0,300137
2016-02-16,8.537,8.871,8.939,8.525,101717.0,300137
2016-02-17,8.834,9.044,9.082,8.692,113732.0,300137
2016-02-18,9.069,8.871,9.088,8.834,129435.0,300137
2016-02-19,8.939,9.001,9.075,8.84,124292.0,300137
2016-02-22,9.125,9.168,9.181,8.97,153677.0,300137
2016-02-23,9.212,9.137,9.273,8.952,143452.0,300137
2016-02-24,9.082,9.131,9.187,8.772,135838.0,300137
2016-02-25,9.057,8.216,9.391,8.216,237896.0,300137
2016-02-26,8.345,8.277,8.475,8.048,164703.0,300137
2016-02-29,8.277,7.609,8.29,7.473,143121.0,300137
2016-03-01,7.683,7.826,7.993,7.436,119959.0,300137
2016-03-02,7.795,8.296,8.339,7.776,150775.0,300137
2016-03-03,8.259,8.451,8.816,8.178,188835.0,300137
2016-03-04,8.537,8.092,8.778,7.98,186186.0,300137
2016-03-07,8.259,8.277,8.463,8.166,121820.0,300137
2016-03-08,8.216,8.228,8.271,7.628,131050.0,300137
2016-03-09,7.962,7.956,8.228,7.838,84422.0,300137
2016-03-10,7.999,7.795,8.067,7.739,78998.0,300137
2016-03-11,7.609,7.745,7.844,7.554,60907.0,300137
2016-03-14,7.888,8.079,8.197,7.826,112234.0,300137
2016-03-15,8.055,8.011,8.234,7.956,84619.0,300137
2016-03-16,8.135,8.067,8.296,8.042,113650.0,300137
2016-03-17,8.154,8.426,8.482,8.073,153020.0,300137
2016-03-18,8.426,8.754,8.921,8.42,190463.0,300137
2016-03-21,8.908,8.927,9.051,8.778,157705.0,300137
2016-03-22,8.859,8.847,8.952,8.797,122385.0,300137
2016-03-23,8.816,8.915,8.921,8.735,112032.0,300137
2016-03-24,8.89,8.803,9.088,8.735,168142.0,300137
2016-03-25,8.723,8.785,8.834,8.673,92887.0,300137
2016-03-28,8.865,8.655,9.026,8.63,89262.0,300137
2016-03-29,8.599,8.364,8.673,8.24,99456.0,300137
2016-03-30,8.463,8.723,8.735,8.413,117187.0,300137
